property,group,Fe,Ni,Mn,Al,Cr,Cu,Co,Mo,Ti,Nb,Ta,W,V,Zr,Hf,reference_id,reference_citation
Structure,,BCC,FCC,αMn,FCC,BCC,FCC,HCP,BCC,HCP,BCC,BCC,BCC,BCC,HCP,HCP,,
Pauling Electronegativity [1],E1,1.83,1.91,1.55,1.61,1.66,1.9,1.88,2.16,1.54,1.6,1.5,2.36,1.63,1.33,1.3,[1],"Gray, T., Mann, N. & Whitby, M. Atomic Number. Periodic Table https://periodictable.com/Properties/A/AtomicNumber.html (accessed 19 July 2026)."
Allred Rochow electronegativity [2],E2,1.64,1.75,1.6,1.47,1.56,1.75,1.7,1.3,1.32,1.23,1.33,1.4,1.45,1.22,1.23,[2],"Little, E. J., Jr. & Jones, M. M. A complete table of electronegativities. Journal of Chemical Education 37, 231–233 (1960)."
Valence electron concentration [3],E3,8,10,7,3,6,11,9,6,4,5,5,6,5,4,4,[3],"Miracle, D. & Senkov, O. N. A critical review of high entropy alloys and related concepts. Acta Materialia 122, 448–511 (2017)"
Free electron concentration [4],E4,1.05,1.16,1.05,3.01,0.92,1,1.03,1.39,1.14,1.32,1.57,1.43,0.9,1.49,1.76,[4],"Mizutani, U. & Sato, H. The physics of the Hume-Rothery electron concentration rule. Crystals 7, 9 (2017)."
Electron work function/ev [5],E5,4.5,5.15,4.1,4.28,4.5,4.65,5,4.6,4.33,4.3,4.25,4.55,4.3,4.05,3.9,[5],"Wang, W. Y., Shang, S. L., Wang, Y. & et al. Atomic and electronic basis for the serrations of refractory high-entropy alloys. npj Computational Mathematics 3, (2017)."
First Ionization Energy/ev [6],E6,7.90278281598176,7.63952946053791,7.43431621495569,5.98538632948127,6.76685495154687,7.72658962533036,7.88101777478365,7.09229413898533,6.82800435300824,6.75856350728092,7.88723635798311,7.98051510597502,6.746126340882,6.6341918432917,6.82489506140851,[6],"Halpern, J. A6: Atomic Ionization Energies. LibreTexts Chemistry https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Atomic_and_Molecular_Properties/A6%3A_Atomic_Ionization_Energies (accessed 19 July 2026)."
Second Ionization Energy/ev [6],E7,16.1880084987304,18.1686272477587,15.6397367466446,18.8288334974348,16.4854640617713,20.2922734103747,17.080375187853,16.1683163185987,13.5751671244235,14.3027413587604,15.5464579986526,17.6193190651397,14.6551277400632,13.1626677721926,14.9245996787065,[7],"Zhang, R. F., Zhang, S. H., He, Z. J. & et al. Miedema Calculator: A thermodynamic platform for predicting formation enthalpies of alloys within framework of Miedema's Theory. Computer Physics Communications. 209, 58–69 (2016)."
Number of VECs filled valence orbitals [1],E8,8,10,7,3,6,11,9,6,4,5,19,20,5,4,18,[8],"Bozzolo, G., Noebe, R. D. & Mosca, H. O. Site preference of ternary alloying additions to NiTi: Fe, Pt, Pd, Au, Al, Cu, Zr and Hf. Journal of Alloys and Compounds. 389, 80–94 (2005)."
Number of VECs valence electrons unfilled valence orbitals [1],E9,4,2,5,5,6,1,3,6,8,7,7,6,7,8,8,[9],"Dou, B., Cui, J., Guo, R. & et al. Modulus-mismatch strategy optimized lightweight refractory high-entropy alloys for superior synergy of mechanical properties and thermostability. Materials Science and Engineering: A 908, 146767 (2024)."
