property_en,property_zh,Unnamed: 2,分组,Fe,Ni,Mn,Al,Cr,Cu,Co,Mo,Ti,Nb,Ta,W,V,Zr,Hf,reference_id,reference_url_or_citation
,晶格类型,常温常压下最稳定的晶体结构,空,BCC,FCC,αMn,FCC,BCC,FCC,HCP,BCC,HCP,BCC,BCC,BCC,BCC,HCP,HCP,Number,Literature or website
Pauling Electronegativity [1],Electronegativity-(Pauling)[1],已验证,E1,1.83,1.91,1.55,1.61,1.66,1.9,1.88,2.16,1.54,1.6,1.5,2.36,1.63,1.33,1.3,[1],https://periodictable.com/Properties/A/AtomicNumber.html
Allred Rochow electronegativity [2],Allred Rochow electronegativity[2],已验证,E2,1.64,1.75,1.6,1.47,1.56,1.75,1.7,1.3,1.32,1.23,1.33,1.4,1.45,1.22,1.23,[2],https://www.webelements.com/
Valence electron concentration [3],VEC[3],,E3,8,10,7,3,6,11,9,6,4,5,5,6,5,4,4,[3],"D. Miracle, O. N. Senkov, A critical review of high entropy alloys and
related concepts, Acta Materialia 122 (2017) 448–511."
Free electron concentration [4],e/a[4],,E4,1.05,1.16,1.05,3.01,0.92,1,1.03,1.39,1.14,1.32,1.57,1.43,0.9,1.49,1.76,[4],"U. Mizutani, H. Sato. The Physics of the Hume-Rothery Electron Concentration Rule, Crystals. 7 (2017) 9."
Electron work function/ev [5],"WEF【Atomic and electronic basis for the serrations of refractory
high-entropy alloys】/ev",去掉,E5,4.5,5.15,4.1,4.28,4.5,4.65,5,4.6,4.33,4.3,4.25,4.55,4.3,4.05,3.9,[5],"G. Bozzolo, H.O. Mosca and M.F. del Grosso, Energy of formation, lattice parameter and bulk modulus of (Ni,X)Ti alloys with X = Fe, Pd, Pt, Au, Al, Cu, Zr, Hf,Intermetallics 16(5) (2008) 668-675"
First Ionization Energy/ev [6],First Ionization Energy/ev[2],,E6,7.90278281598176,7.63952946053791,7.43431621495569,5.98538632948127,6.76685495154687,7.72658962533036,7.88101777478365,7.09229413898533,6.82800435300824,6.75856350728092,7.88723635798311,7.98051510597502,6.746126340882,6.6341918432917,6.82489506140851,[6],http://www.baiven.com/baike/220/262287.html
Second Ionization Energy/ev [6],Second Ionization Energy/ev[2],,E7,16.1880084987304,18.1686272477587,15.6397367466446,18.8288334974348,16.4854640617713,20.2922734103747,17.080375187853,16.1683163185987,13.5751671244235,14.3027413587604,15.5464579986526,17.6193190651397,14.6551277400632,13.1626677721926,14.9245996787065,[7],"W. Y. Wang, S. L. Shang, W. Yi, F. Han, Z. K. Liu, Atomic and electronic basis for the serrations of refractory high-entropy alloys, Npj Computational Mathematics 3 (2017). "
Number of VECs filled valence orbitals [1],填充价电子数[2],,E8,8,10,7,3,6,11,9,6,4,5,19,20,5,4,18,[8],"P. Schwerdtfeger,  J. K. Nagle. 2018 Table of static dipole polarizabilities of the neutral elements in the periodic tableFootnote, Molecular Physics "
Number of VECs valence electrons unfilled valence orbitals [1],未填充价电子数[2],,E9,4,2,5,5,6,1,3,6,8,7,7,6,7,8,8,[9],"Zhang R F , Zhang S H , He Z J ,et al.Miedema Calculator: A thermodynamic platform for predicting formation enthalpies of alloys within framework of Miedema's Theory[J].Computer Physics Communications, 2016:58-69."
Number of VECs filled s valence orbitals [1],填充s价电子数[2],,E10,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,[10],"Brooks R F , Dinsdale A T , Quested P N .The measurement of viscosity of alloys—a review of methods, data and models[J].Measurement Science & Technology, 2005, 16(2):354.DOI:10.1088/0957-0233/16/2/005."
Number of VECs valence electrons unfilled s valence orbitals [1],未填充s价电子数[2],,E11,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,[11],"Egry I , Loh?Fer G , Sauerland S .Surface tension and viscosity of liquid metals[J].Journal of Non-Crystalline Solids, 1993, s 156–158(part-P2):830-832.DOI:10.1016/0022-3093(93)90079-D."
Number of VECs filled p valence orbitals [1],填充价p电子数[2],,E12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[12],"Wynblatt P .Calculation of the vacancy migration energy in cubic crystals[J].Journal of Physics and Chemistry of Solids, 1968, 29( 2):215-224.DOI:10.1016/0022-3697(68)90065-6."
Number of VECs valence electrons unfilled p valence orbitals [1],未填充p价电子数[2],,E13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,[13],"Burakovsky L , Greeff C W , Preston D L .Analytic model of the shear modulus at all temperatures and densities.2003[2023-10-21].DOI:10.1103/PHYSREVB.67.094107."
Number of VECs filled d valence orbitals [1],填充的d价轨道数[2],,E14,6,8,5,0,5,10,7,5,2,4,3,4,3,2,2,[14],"Shang S L , Zhou B C , Wang W Y ,et al.A comprehensive first-principles study of pure elements: Vacancy formation and migration energies and self-diffusion coefficients[J].Acta Materialia, 2016, 109:128-141.DOI:10.1016/j.actamat.2016.02.031."
Number of VECs valence electrons unfilled d valence orbitals [1],未填充的d价轨道数[2],,E15,4,2,5,0,5,0,3,5,8,6,7,6,7,8,8,已完成验证,
Electron density at surface of Wigner Sietz cell [7],魏格纳格子表面电子密度https://www.sciencedirect.com/science/article/pii/S0010465516302430,,E16,1.77,1.75,1.61,1.39,1.73,1.47,1.75,1.77,1.52,1.64,1.63,1.81,1.64,1.41,1.45,15,"Hu, W., Qi, W., Zhang, B. A Semiempirical Method to Estimate Vacancy Formation Energy of Metals. Journal of Hunan University（Natural Sciences Edition,1999, 26(5)"
Atomic number [1],Atomic number[2],,E17,26,28,25,13,24,29,27,42,22,41,73,74,23,40,72,16," DOU B, CUI J, GUO R, et al. Modulus-mismatch strategy optimized lightweight refractory high-entropy alloys for superior synergy of mechanical properties and thermostability[J]. Materials Science and Engineering: A, 2024, 908: 146767."
Group [1],族[2],,E18,8,10,7,13,6,11,9,6,4,5,5,6,5,4,4,17,"QI X T, WANG S, CHEN S B, et al. Anomalous elastic behavior of tantalum at high pressures: Experimental and theoretical studies[J]. International Journal of Refractory Metals and Hard Materials, 2021, 101: 105691."
Period [1],周期数[2],,E19,4,4,4,3,4,4,4,5,4,5,6,6,4,5,6,18,"XIAO N, GUAN X, WANG D, et al. Impact of W alloying on microstructure, mechanical property and corrosion resistance of face-centered cubic high entropy alloys: A review[J]. International Journal of Minerals, Metallurgy and Materials, 2023, 30(9): 1667-1679."
Bulk modulus/Gpa [1] [8],体积模量/Gpa（元素周期表）[2][7],,P1,170,180,120,76,160,140,180,230,110,170,200,310,160,87.09,110,19,"YOUNG D A. Phase diagrams of the elements[M]. Berkeley: University of California Press, 1991."
Shear modulus/Gpa [1] [9-11],剪切模量/Gpa[2],,P2,82,76,77,26,115,48,75,125.6,44,38,69,161,47,33,30,20," LIDE D R, editor. CRC handbook of chemistry and physics[M]. 84th ed. Boca Raton: CRC Press, 2003."
Young’s modulus/Gpa [3],杨氏模量/Gpa[3],,P3,211,200,198,70,279,130,209,329,116,105,186,411,128,67,78,21,"BOZZOLO G, NOEBE R D, MOSCA H O. Site preference of ternary alloying additions to NiTi: Fe, Pt, Pd, Au, Al, Cu, Zr and Hf[J]. Journal of Alloys anompounds, 2005, 389(1-2): 80-94."
