element,Fe,Ni,Mn,Al,Cr,Cu,Co,Mo,Ti,Nb,Ta,W,V,Zr,Hf,Reference,Unnamed: 17
Fe,0,-2,0,-11,-1,13,-1,-5,-17,-16,-15,0,-7,-25,-21,[1],"Takeuchi, A. & Inoue, A. Classification of Bulk Metallic Glasses by Atomic Size Difference, Heat of Mixing and Period of Constituent Elements and Its Application to Characterization of the Main Alloying Element. Materials Transactions 46, 2817–2829 (2005)."
Ni,-2,0,-8,-22,-7,4,0,-7,-35,-30,-29,-3,-18,-49,-42,,
Mn,0,-8,0,-19,2,4,-5,5,-8,-4,-4,6,-1,-15,-12,,
Al,-11,-22,-19,0,-10,-1,-19,-5,-30,-18,-19,-2,-16,-44,-39,,
Cr,-1,-7,2,-10,0,12,-4,0,-7,-7,-7,1,-2,-12,-9,,
Cu,13,4,4,-1,12,0,6,19,-9,3,2,22,5,-23,-17,,
Co,-1,0,-5,-19,-4,6,0,-5,-28,-25,-24,-1,-14,-41,-35,,
Mo,-5,-7,5,-5,0,19,-5,0,-4,-6,-5,0,0,-6,-4,,
Ti,-17,-35,-8,-30,-7,-9,-28,-4,0,2,1,-6,-2,0,0,,
Nb,-16,-30,-4,-18,-7,3,-25,-6,2,0,0,-8,-1,4,4,,
Ta,-15,-29,-4,-19,-7,2,-24,-5,1,0,0,-7,-1,3,3,,
W,0,-3,6,-2,1,22,-1,0,-6,-8,-7,0,-1,-9,-6,,
V,-7,-18,-1,-16,-2,5,-14,0,-2,-1,-1,-1,0,-4,-2,,
Zr,-25,-49,-15,-44,-12,-23,-41,-6,0,4,3,-9,-4,0,0,,
Hf,-21,-42,-12,-39,-9,-17,-35,-4,0,4,3,-6,-2,0,0,,
